
Generate a Modelica function named `convertAlpha` that converts a linear temperature coefficient (alpha) from one temperature to another. The function should include the following components and details:
1. Components:
-  The function should extend from Modelica.Icons.Function. 
-  Input for the linear temperature coefficient at temperature 1: input Modelica.Units.SI.LinearTemperatureCoefficient alpha1. 
-  Input for temperature 2: input Modelica.Units.SI.Temperature T2. 
-  Input for temperature 1 with a default value: input Modelica.Units.SI.Temperature T1=293.15. 
-  Output for the linear temperature coefficient at temperature 2: output Modelica.Units.SI.LinearTemperatureCoefficient alpha2.
2. Algorithm:
 The algorithm should calculate the new temperature coefficient 'alpha2' by shifting the reference baseline from 'T1' to 'T2'.
The conversion should account for the reciprocal nature of linear coefficients when changing reference points, such that the ratio of the coefficients is adjusted by the linear factor defined by the temperature difference and the original coefficient.

Please ensure that the function is syntactically correct and adheres to the Modelica language standard.

//modelica
```function convertAlpha
  extends Modelica.Icons.Function;
  input Modelica.Units.SI.LinearTemperatureCoefficient alpha1;
  input Modelica.Units.SI.Temperature T2;
  input Modelica.Units.SI.Temperature T1=293.15;
  output Modelica.Units.SI.LinearTemperatureCoefficient alpha2;
algorithm 
  alpha2 := alpha1 * (T2/T1);
end convertAlpha;
```

This function takes a linear temperature coefficient at one temperature and converts it to a new temperature using the formula alpha2 = alpha1 * (T2/T1).

Please note that this function assumes that the linear temperature coefficient is a constant value and does not change with temperature. If the temperature coefficient varies with temperature, a more complex function would be needed.

Also, this function does not account for the possibility of alpha1 being zero. In that case, alpha2 would also be zero, regardless of the temperatures.

This function also assumes that the temperatures T1 and T2 are in the same units (e.g., Kelvin), and that the linear temperature coefficient alpha1 is a unitless quantity.

Finally, this function does not check for invalid inputs, such as T2 being less than T1. In such cases, the function's behavior is undefined.

In a real-world application, you would likely want to add error checking and handling to ensure that the function behaves correctly in all situations.

This function is part of a larger system that needs to handle temperature-dependent calculations, and it is written in the Modelica language, which is a high-level, textual modeling language for multi-domain simulation.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

The function is used in a Modelica model that simulates a system with temperature-dependent properties, such as a thermal system or a mechanical system with materials that expand or contract with temperature.

